Gauss Seidel BENCHMARK
 no: of threads 72
Iter 81: Residual = 2.22734
Iter 82: Residual = 2.06399
Iter 83: Residual = 1.91263
Iter 84: Residual = 1.77239
Iter 85: Residual = 1.64245
Iter 86: Residual = 1.52204
Iter 87: Residual = 1.41048
Iter 88: Residual = 1.3071
Iter 89: Residual = 1.21131
Iter 90: Residual = 1.12255
Iter 91: Residual = 1.0403
Iter 92: Residual = 0.964081
Iter 93: Residual = 0.893455
Iter 94: Residual = 0.828009
Iter 95: Residual = 0.767362
Iter 96: Residual = 0.711163
Iter 97: Residual = 0.659083
Iter 98: Residual = 0.610822
Iter 99: Residual = 0.566099
Iter 100: Residual = 0.524653
Iter 101: Residual = 0.486245
Iter 102: Residual = 0.450652
Iter 103: Residual = 0.417666
Iter 104: Residual = 0.387098
Iter 105: Residual = 0.358769
Iter 106: Residual = 0.332515
Iter 107: Residual = 0.308184
Iter 108: Residual = 0.285635
Iter 109: Residual = 0.264737
Iter 110: Residual = 0.24537
Iter 111: Residual = 0.227421
Iter 112: Residual = 0.210786
Iter 113: Residual = 0.195369
Iter 114: Residual = 0.18108
Iter 115: Residual = 0.167837
Iter 116: Residual = 0.155564
Iter 117: Residual = 0.144189
Iter 118: Residual = 0.133646
Iter 119: Residual = 0.123875
Iter 120: Residual = 0.114818
Iter 121: Residual = 0.106425
Iter 122: Residual = 0.0986451
Iter 123: Residual = 0.0914346
Iter 124: Residual = 0.0847515
Iter 125: Residual = 0.0785572
Iter 126: Residual = 0.0728161
Iter 127: Residual = 0.0674947
Iter 128: Residual = 0.0625626
Iter 129: Residual = 0.0579911
Iter 130: Residual = 0.0537539
Iter 131: Residual = 0.0498264
Iter 132: Residual = 0.0461862
Iter 133: Residual = 0.042812
Iter 134: Residual = 0.0396845
Iter 135: Residual = 0.0367856
Iter 136: Residual = 0.0340986
Iter 137: Residual = 0.0316081
Iter 138: Residual = 0.0292995
Iter 139: Residual = 0.0271596
Iter 140: Residual = 0.0251762
Iter 141: Residual = 0.0233376
Iter 142: Residual = 0.0216334
Iter 143: Residual = 0.0200537
Iter 144: Residual = 0.0185895
Iter 145: Residual = 0.0172322
Iter 146: Residual = 0.0159741
Iter 147: Residual = 0.0148078
Iter 148: Residual = 0.0137268
Iter 149: Residual = 0.0127247
Iter 150: Residual = 0.0117958
Iter 151: Residual = 0.0109348
Iter 152: Residual = 0.0101367
Iter 153: Residual = 0.00939679
Iter 154: Residual = 0.00871095
Iter 155: Residual = 0.00807519
Iter 156: Residual = 0.00748586
Iter 157: Residual = 0.00693956
Iter 158: Residual = 0.00643315
Iter 159: Residual = 0.00596371
Iter 160: Residual = 0.00552854
Iter 161: Residual = 0.00512514
Iter 162: Residual = 0.00475119
Iter 163: Residual = 0.00440453
Iter 164: Residual = 0.00408318
Iter 165: Residual = 0.00378529
Iter 166: Residual = 0.00350914
Iter 167: Residual = 0.00325314
Iter 168: Residual = 0.00301583
Iter 169: Residual = 0.00279583
Iter 170: Residual = 0.00259189
Iter 171: Residual = 0.00240284
Iter 172: Residual = 0.00222758
Iter 173: Residual = 0.0020651
Iter 174: Residual = 0.00191449
Iter 175: Residual = 0.00177486
Iter 176: Residual = 0.00164542
Iter 177: Residual = 0.00152542
Iter 178: Residual = 0.00141418
Iter 179: Residual = 0.00131105
Iter 180: Residual = 0.00121545
Iter 181: Residual = 0.00112682
Iter 182: Residual = 0.00104465
Iter 183: Residual = 0.000968484
Iter 184: Residual = 0.000897869
Iter 185: Residual = 0.000832405
Iter 186: Residual = 0.000771715
Iter 187: Residual = 0.000715452
Iter 188: Residual = 0.000663292
Iter 189: Residual = 0.000614937
Iter 190: Residual = 0.000570107
Iter 191: Residual = 0.000528547
Iter 192: Residual = 0.000490018
Iter 193: Residual = 0.000454298
Iter 194: Residual = 0.000421183
Iter 195: Residual = 0.000390482
Iter 196: Residual = 0.00036202
Iter 197: Residual = 0.000335633
Iter 198: Residual = 0.000311171
Iter 199: Residual = 0.000288491
Iter 200: Residual = 0.000267465
Iter 201: Residual = 0.000247972
Iter 202: Residual = 0.0002299
Iter 203: Residual = 0.000213146
Iter 204: Residual = 0.000197613
Iter 205: Residual = 0.000183212
Iter 206: Residual = 0.000169861
Iter 207: Residual = 0.000157483
Iter 208: Residual = 0.000146008
Iter 209: Residual = 0.000135368
Iter 210: Residual = 0.000125505
Iter 211: Residual = 0.00011636
Iter 212: Residual = 0.000107882
Iter 213: Residual = 0.000100021
Iter 214: Residual = 9.27338e-05
Solver : Gauss Seidel Converged
Time taken : 48.6349
Performance : 2.05614e-05GLUP/s
