rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Jacobi BENCHMARK
Benchmarking across 1 Node
 no: of threads 72
Iter 121: Residual = 14.5271
Iter 122: Residual = 14.3081
Iter 123: Residual = 14.0925
Iter 124: Residual = 13.8801
Iter 125: Residual = 13.671
Iter 126: Residual = 13.465
Iter 127: Residual = 13.262
Iter 128: Residual = 13.0622
Iter 129: Residual = 12.8653
Iter 130: Residual = 12.6715
Iter 131: Residual = 12.4805
Iter 132: Residual = 12.2924
Iter 133: Residual = 12.1072
Iter 134: Residual = 11.9247
Iter 135: Residual = 11.745
Iter 136: Residual = 11.568
Iter 137: Residual = 11.3937
Iter 138: Residual = 11.222
Iter 139: Residual = 11.0529
Iter 140: Residual = 10.8863
Iter 141: Residual = 10.7223
Iter 142: Residual = 10.5607
Iter 143: Residual = 10.4015
Iter 144: Residual = 10.2448
Iter 145: Residual = 10.0904
Iter 146: Residual = 9.93835
Iter 147: Residual = 9.78858
Iter 148: Residual = 9.64107
Iter 149: Residual = 9.49578
Iter 150: Residual = 9.35268
Iter 151: Residual = 9.21174
Iter 152: Residual = 9.07292
Iter 153: Residual = 8.9362
Iter 154: Residual = 8.80153
Iter 155: Residual = 8.6689
Iter 156: Residual = 8.53826
Iter 157: Residual = 8.40959
Iter 158: Residual = 8.28286
Iter 159: Residual = 8.15804
Iter 160: Residual = 8.0351
Iter 161: Residual = 7.91402
Iter 162: Residual = 7.79475
Iter 163: Residual = 7.67729
Iter 164: Residual = 7.5616
Iter 165: Residual = 7.44765
Iter 166: Residual = 7.33541
Iter 167: Residual = 7.22487
Iter 168: Residual = 7.11599
Iter 169: Residual = 7.00876
Iter 170: Residual = 6.90314
Iter 171: Residual = 6.79911
Iter 172: Residual = 6.69665
Iter 173: Residual = 6.59574
Iter 174: Residual = 6.49634
Iter 175: Residual = 6.39844
Iter 176: Residual = 6.30202
Iter 177: Residual = 6.20705
Iter 178: Residual = 6.11351
Iter 179: Residual = 6.02139
Iter 180: Residual = 5.93065
Iter 181: Residual = 5.84127
Iter 182: Residual = 5.75325
Iter 183: Residual = 5.66655
Iter 184: Residual = 5.58116
Iter 185: Residual = 5.49705
Iter 186: Residual = 5.41421
Iter 187: Residual = 5.33262
Iter 188: Residual = 5.25226
Iter 189: Residual = 5.17311
Iter 190: Residual = 5.09515
Iter 191: Residual = 5.01837
Iter 192: Residual = 4.94275
Iter 193: Residual = 4.86826
Iter 194: Residual = 4.7949
Iter 195: Residual = 4.72264
Iter 196: Residual = 4.65147
Iter 197: Residual = 4.58138
Iter 198: Residual = 4.51234
Iter 199: Residual = 4.44434
Iter 200: Residual = 4.37736
Iter 201: Residual = 4.3114
Iter 202: Residual = 4.24643
Iter 203: Residual = 4.18244
Iter 204: Residual = 4.11941
Iter 205: Residual = 4.05733
Iter 206: Residual = 3.99619
Iter 207: Residual = 3.93597
Iter 208: Residual = 3.87665
Iter 209: Residual = 3.81823
Iter 210: Residual = 3.76069
Iter 211: Residual = 3.70402
Iter 212: Residual = 3.6482
Iter 213: Residual = 3.59323
Iter 214: Residual = 3.53908
Iter 215: Residual = 3.48575
Iter 216: Residual = 3.43322
Iter 217: Residual = 3.38148
Iter 218: Residual = 3.33052
Iter 219: Residual = 3.28033
Iter 220: Residual = 3.2309
Iter 221: Residual = 3.18221
Iter 222: Residual = 3.13426
Iter 223: Residual = 3.08702
Iter 224: Residual = 3.0405
Iter 225: Residual = 2.99468
Iter 226: Residual = 2.94956
Iter 227: Residual = 2.90511
Iter 228: Residual = 2.86133
Iter 229: Residual = 2.81821
Iter 230: Residual = 2.77574
Iter 231: Residual = 2.73391
Iter 232: Residual = 2.69271
Iter 233: Residual = 2.65213
Iter 234: Residual = 2.61217
Iter 235: Residual = 2.5728
Iter 236: Residual = 2.53403
Iter 237: Residual = 2.49584
Iter 238: Residual = 2.45823
Iter 239: Residual = 2.42119
Iter 240: Residual = 2.3847
Iter 241: Residual = 2.34876
Iter 242: Residual = 2.31337
Iter 243: Residual = 2.27851
Iter 244: Residual = 2.24417
Iter 245: Residual = 2.21035
Iter 246: Residual = 2.17704
Iter 247: Residual = 2.14424
Iter 248: Residual = 2.11192
Iter 249: Residual = 2.0801
Iter 250: Residual = 2.04875
Iter 251: Residual = 2.01788
Iter 252: Residual = 1.98747
Iter 253: Residual = 1.95752
Iter 254: Residual = 1.92802
Iter 255: Residual = 1.89897
Iter 256: Residual = 1.87035
Iter 257: Residual = 1.84216
Iter 258: Residual = 1.8144
Iter 259: Residual = 1.78706
Iter 260: Residual = 1.76013
Iter 261: Residual = 1.73361
Iter 262: Residual = 1.70748
Iter 263: Residual = 1.68175
Iter 264: Residual = 1.65641
Iter 265: Residual = 1.63144
Iter 266: Residual = 1.60686
Iter 267: Residual = 1.58264
Iter 268: Residual = 1.55879
Iter 269: Residual = 1.5353
Iter 270: Residual = 1.51217
Iter 271: Residual = 1.48938
Iter 272: Residual = 1.46694
Iter 273: Residual = 1.44483
Iter 274: Residual = 1.42306
Iter 275: Residual = 1.40161
Iter 276: Residual = 1.38049
Iter 277: Residual = 1.35969
Iter 278: Residual = 1.3392
Iter 279: Residual = 1.31902
Iter 280: Residual = 1.29914
Iter 281: Residual = 1.27956
Iter 282: Residual = 1.26028
Iter 283: Residual = 1.24129
Iter 284: Residual = 1.22258
Iter 285: Residual = 1.20416
Iter 286: Residual = 1.18601
Iter 287: Residual = 1.16814
Iter 288: Residual = 1.15053
Iter 289: Residual = 1.1332
Iter 290: Residual = 1.11612
Iter 291: Residual = 1.0993
Iter 292: Residual = 1.08273
Iter 293: Residual = 1.06642
Iter 294: Residual = 1.05035
Iter 295: Residual = 1.03452
Iter 296: Residual = 1.01893
Iter 297: Residual = 1.00357
Iter 298: Residual = 0.98845
Iter 299: Residual = 0.973555
Iter 300: Residual = 0.958884
Iter 301: Residual = 0.944434
Iter 302: Residual = 0.930202
Iter 303: Residual = 0.916184
Iter 304: Residual = 0.902377
Iter 305: Residual = 0.888779
Iter 306: Residual = 0.875385
Iter 307: Residual = 0.862193
Iter 308: Residual = 0.849201
Iter 309: Residual = 0.836403
Iter 310: Residual = 0.823799
Iter 311: Residual = 0.811385
Iter 312: Residual = 0.799158
Iter 313: Residual = 0.787115
Iter 314: Residual = 0.775253
Iter 315: Residual = 0.76357
Iter 316: Residual = 0.752064
Iter 317: Residual = 0.74073
Iter 318: Residual = 0.729568
Iter 319: Residual = 0.718573
Iter 320: Residual = 0.707745
Iter 321: Residual = 0.697079
Iter 322: Residual = 0.686575
Iter 323: Residual = 0.676228
Iter 324: Residual = 0.666038
Iter 325: Residual = 0.656001
Iter 326: Residual = 0.646115
Iter 327: Residual = 0.636378
Iter 328: Residual = 0.626788
Iter 329: Residual = 0.617343
Iter 330: Residual = 0.60804
Iter 331: Residual = 0.598877
Iter 332: Residual = 0.589852
Iter 333: Residual = 0.580963
Iter 334: Residual = 0.572208
Iter 335: Residual = 0.563585
Iter 336: Residual = 0.555092
Iter 337: Residual = 0.546727
Iter 338: Residual = 0.538488
Iter 339: Residual = 0.530373
Iter 340: Residual = 0.522381
Iter 341: Residual = 0.514509
Iter 342: Residual = 0.506755
Iter 343: Residual = 0.499119
Iter 344: Residual = 0.491597
Iter 345: Residual = 0.484189
Iter 346: Residual = 0.476893
Iter 347: Residual = 0.469706
Iter 348: Residual = 0.462628
Iter 349: Residual = 0.455656
Iter 350: Residual = 0.448789
Iter 351: Residual = 0.442026
Iter 352: Residual = 0.435365
Iter 353: Residual = 0.428804
Iter 354: Residual = 0.422342
Iter 355: Residual = 0.415978
Iter 356: Residual = 0.409709
Iter 357: Residual = 0.403535
Iter 358: Residual = 0.397454
Iter 359: Residual = 0.391465
Iter 360: Residual = 0.385565
Iter 361: Residual = 0.379755
Iter 362: Residual = 0.374032
Iter 363: Residual = 0.368396
Iter 364: Residual = 0.362844
Iter 365: Residual = 0.357376
Iter 366: Residual = 0.351991
Iter 367: Residual = 0.346686
Iter 368: Residual = 0.341462
Iter 369: Residual = 0.336316
Iter 370: Residual = 0.331248
Iter 371: Residual = 0.326256
Iter 372: Residual = 0.32134
Iter 373: Residual = 0.316497
Iter 374: Residual = 0.311728
Iter 375: Residual = 0.30703
Iter 376: Residual = 0.302403
Iter 377: Residual = 0.297846
Iter 378: Residual = 0.293358
Iter 379: Residual = 0.288937
Iter 380: Residual = 0.284583
Iter 381: Residual = 0.280294
Iter 382: Residual = 0.27607
Iter 383: Residual = 0.27191
Iter 384: Residual = 0.267812
Iter 385: Residual = 0.263777
Iter 386: Residual = 0.259802
Iter 387: Residual = 0.255887
Iter 388: Residual = 0.25203
Iter 389: Residual = 0.248232
Iter 390: Residual = 0.244492
Iter 391: Residual = 0.240807
Iter 392: Residual = 0.237178
Iter 393: Residual = 0.233604
Iter 394: Residual = 0.230084
Iter 395: Residual = 0.226617
Iter 396: Residual = 0.223202
Iter 397: Residual = 0.219838
Iter 398: Residual = 0.216525
Iter 399: Residual = 0.213262
Iter 400: Residual = 0.210048
Iter 401: Residual = 0.206883
Iter 402: Residual = 0.203765
Iter 403: Residual = 0.200695
Iter 404: Residual = 0.19767
Iter 405: Residual = 0.194691
Iter 406: Residual = 0.191758
Iter 407: Residual = 0.188868
Iter 408: Residual = 0.186022
Iter 409: Residual = 0.183218
Iter 410: Residual = 0.180457
Iter 411: Residual = 0.177738
Iter 412: Residual = 0.17506
Iter 413: Residual = 0.172421
Iter 414: Residual = 0.169823
Iter 415: Residual = 0.167264
Iter 416: Residual = 0.164743
Iter 417: Residual = 0.162261
Iter 418: Residual = 0.159816
Iter 419: Residual = 0.157407
Iter 420: Residual = 0.155035
Iter 421: Residual = 0.152699
Iter 422: Residual = 0.150398
Iter 423: Residual = 0.148131
Iter 424: Residual = 0.145899
Iter 425: Residual = 0.1437
Iter 426: Residual = 0.141535
Iter 427: Residual = 0.139402
Iter 428: Residual = 0.137301
Iter 429: Residual = 0.135232
Iter 430: Residual = 0.133194
Iter 431: Residual = 0.131187
Iter 432: Residual = 0.12921
Iter 433: Residual = 0.127263
Iter 434: Residual = 0.125345
Iter 435: Residual = 0.123456
Iter 436: Residual = 0.121596
Iter 437: Residual = 0.119763
Iter 438: Residual = 0.117959
Iter 439: Residual = 0.116181
Iter 440: Residual = 0.11443
Iter 441: Residual = 0.112706
Iter 442: Residual = 0.111007
Iter 443: Residual = 0.109335
Iter 444: Residual = 0.107687
Iter 445: Residual = 0.106064
Iter 446: Residual = 0.104466
Iter 447: Residual = 0.102891
Iter 448: Residual = 0.101341
Iter 449: Residual = 0.0998138
Iter 450: Residual = 0.0983096
Iter 451: Residual = 0.0968281
Iter 452: Residual = 0.095369
Iter 453: Residual = 0.0939318
Iter 454: Residual = 0.0925163
Iter 455: Residual = 0.0911221
Iter 456: Residual = 0.0897489
Iter 457: Residual = 0.0883964
Iter 458: Residual = 0.0870643
Iter 459: Residual = 0.0857523
Iter 460: Residual = 0.08446
Iter 461: Residual = 0.0831873
Iter 462: Residual = 0.0819337
Iter 463: Residual = 0.080699
Iter 464: Residual = 0.0794829
Iter 465: Residual = 0.0782851
Iter 466: Residual = 0.0771054
Iter 467: Residual = 0.0759434
Iter 468: Residual = 0.074799
Iter 469: Residual = 0.0736718
Iter 470: Residual = 0.0725616
Iter 471: Residual = 0.0714681
Iter 472: Residual = 0.0703911
Iter 473: Residual = 0.0693303
Iter 474: Residual = 0.0682855
Iter 475: Residual = 0.0672565
Iter 476: Residual = 0.066243
Iter 477: Residual = 0.0652447
Iter 478: Residual = 0.0642615
Iter 479: Residual = 0.0632931
Iter 480: Residual = 0.0623393
Iter 481: Residual = 0.0613999
Iter 482: Residual = 0.0604746
Iter 483: Residual = 0.0595633
Iter 484: Residual = 0.0586657
Iter 485: Residual = 0.0577816
Iter 486: Residual = 0.0569109
Iter 487: Residual = 0.0560532
Iter 488: Residual = 0.0552085
Iter 489: Residual = 0.0543766
Iter 490: Residual = 0.0535571
Iter 491: Residual = 0.05275
Iter 492: Residual = 0.0519551
Iter 493: Residual = 0.0511722
Iter 494: Residual = 0.050401
Iter 495: Residual = 0.0496415
Iter 496: Residual = 0.0488934
Iter 497: Residual = 0.0481566
Iter 498: Residual = 0.0474309
Iter 499: Residual = 0.0467162
Iter 500: Residual = 0.0460122
Iter 501: Residual = 0.0453188
Iter 502: Residual = 0.0446358
Iter 503: Residual = 0.0439632
Iter 504: Residual = 0.0433007
Iter 505: Residual = 0.0426482
Iter 506: Residual = 0.0420055
Iter 507: Residual = 0.0413725
Iter 508: Residual = 0.040749
Iter 509: Residual = 0.0401349
Iter 510: Residual = 0.0395301
Iter 511: Residual = 0.0389344
Iter 512: Residual = 0.0383477
Iter 513: Residual = 0.0377698
Iter 514: Residual = 0.0372006
Iter 515: Residual = 0.03664
Iter 516: Residual = 0.0360879
Iter 517: Residual = 0.035544
Iter 518: Residual = 0.0350084
Iter 519: Residual = 0.0344808
Iter 520: Residual = 0.0339612
Iter 521: Residual = 0.0334494
Iter 522: Residual = 0.0329454
Iter 523: Residual = 0.0324489
Iter 524: Residual = 0.0319599
Iter 525: Residual = 0.0314783
Iter 526: Residual = 0.0310039
Iter 527: Residual = 0.0305367
Iter 528: Residual = 0.0300765
Iter 529: Residual = 0.0296233
Iter 530: Residual = 0.0291769
Iter 531: Residual = 0.0287372
Iter 532: Residual = 0.0283041
Iter 533: Residual = 0.0278776
Iter 534: Residual = 0.0274575
Iter 535: Residual = 0.0270437
Iter 536: Residual = 0.0266362
Iter 537: Residual = 0.0262348
Iter 538: Residual = 0.0258394
Iter 539: Residual = 0.02545
Iter 540: Residual = 0.0250665
Iter 541: Residual = 0.0246888
Iter 542: Residual = 0.0243167
Iter 543: Residual = 0.0239503
Iter 544: Residual = 0.0235894
Iter 545: Residual = 0.0232339
Iter 546: Residual = 0.0228837
Iter 547: Residual = 0.0225389
Iter 548: Residual = 0.0221992
Iter 549: Residual = 0.0218647
Iter 550: Residual = 0.0215352
Iter 551: Residual = 0.0212107
Iter 552: Residual = 0.0208911
Iter 553: Residual = 0.0205762
Iter 554: Residual = 0.0202662
Iter 555: Residual = 0.0199608
Iter 556: Residual = 0.01966
Iter 557: Residual = 0.0193637
Iter 558: Residual = 0.0190719
Iter 559: Residual = 0.0187845
Iter 560: Residual = 0.0185014
Iter 561: Residual = 0.0182226
Iter 562: Residual = 0.017948
Iter 563: Residual = 0.0176775
Iter 564: Residual = 0.0174111
Iter 565: Residual = 0.0171487
Iter 566: Residual = 0.0168903
Iter 567: Residual = 0.0166358
Iter 568: Residual = 0.0163851
Iter 569: Residual = 0.0161382
Iter 570: Residual = 0.015895
Iter 571: Residual = 0.0156554
Iter 572: Residual = 0.0154195
Iter 573: Residual = 0.0151872
Iter 574: Residual = 0.0149583
Iter 575: Residual = 0.0147329
Iter 576: Residual = 0.0145109
Iter 577: Residual = 0.0142922
Iter 578: Residual = 0.0140768
Iter 579: Residual = 0.0138647
Iter 580: Residual = 0.0136557
Iter 581: Residual = 0.01345
Iter 582: Residual = 0.0132473
Iter 583: Residual = 0.0130476
Iter 584: Residual = 0.012851
Iter 585: Residual = 0.0126574
Iter 586: Residual = 0.0124666
Iter 587: Residual = 0.0122787
Iter 588: Residual = 0.0120937
Iter 589: Residual = 0.0119115
Iter 590: Residual = 0.011732
Iter 591: Residual = 0.0115552
Iter 592: Residual = 0.011381
Iter 593: Residual = 0.0112095
Iter 594: Residual = 0.0110406
Iter 595: Residual = 0.0108742
Iter 596: Residual = 0.0107104
Iter 597: Residual = 0.010549
Iter 598: Residual = 0.01039
Iter 599: Residual = 0.0102334
Iter 600: Residual = 0.0100792
Iter 601: Residual = 0.00992731
Iter 602: Residual = 0.00977771
Iter 603: Residual = 0.00963036
Iter 604: Residual = 0.00948524
Iter 605: Residual = 0.0093423
Iter 606: Residual = 0.00920151
Iter 607: Residual = 0.00906285
Iter 608: Residual = 0.00892627
Iter 609: Residual = 0.00879176
Iter 610: Residual = 0.00865927
Iter 611: Residual = 0.00852878
Iter 612: Residual = 0.00840025
Iter 613: Residual = 0.00827366
Iter 614: Residual = 0.00814898
Iter 615: Residual = 0.00802618
Iter 616: Residual = 0.00790523
Iter 617: Residual = 0.0077861
Iter 618: Residual = 0.00766877
Iter 619: Residual = 0.0075532
Iter 620: Residual = 0.00743938
Iter 621: Residual = 0.00732727
Iter 622: Residual = 0.00721685
Iter 623: Residual = 0.0071081
Iter 624: Residual = 0.00700098
Iter 625: Residual = 0.00689548
Iter 626: Residual = 0.00679156
Iter 627: Residual = 0.00668922
Iter 628: Residual = 0.00658841
Iter 629: Residual = 0.00648913
Iter 630: Residual = 0.00639134
Iter 631: Residual = 0.00629503
Iter 632: Residual = 0.00620016
Iter 633: Residual = 0.00610673
Iter 634: Residual = 0.0060147
Iter 635: Residual = 0.00592406
Iter 636: Residual = 0.00583479
Iter 637: Residual = 0.00574686
Iter 638: Residual = 0.00566026
Iter 639: Residual = 0.00557496
Iter 640: Residual = 0.00549095
Iter 641: Residual = 0.0054082
Iter 642: Residual = 0.0053267
Iter 643: Residual = 0.00524643
Iter 644: Residual = 0.00516737
Iter 645: Residual = 0.0050895
Iter 646: Residual = 0.0050128
Iter 647: Residual = 0.00493726
Iter 648: Residual = 0.00486286
Iter 649: Residual = 0.00478958
Iter 650: Residual = 0.0047174
Iter 651: Residual = 0.00464631
Iter 652: Residual = 0.00457629
Iter 653: Residual = 0.00450733
Iter 654: Residual = 0.00443941
Iter 655: Residual = 0.00437251
Iter 656: Residual = 0.00430661
Iter 657: Residual = 0.00424171
Iter 658: Residual = 0.00417779
Iter 659: Residual = 0.00411484
Iter 660: Residual = 0.00405283
Iter 661: Residual = 0.00399175
Iter 662: Residual = 0.0039316
Iter 663: Residual = 0.00387235
Iter 664: Residual = 0.003814
Iter 665: Residual = 0.00375652
Iter 666: Residual = 0.00369991
Iter 667: Residual = 0.00364415
Iter 668: Residual = 0.00358924
Iter 669: Residual = 0.00353515
Iter 670: Residual = 0.00348188
Iter 671: Residual = 0.00342941
Iter 672: Residual = 0.00337773
Iter 673: Residual = 0.00332682
Iter 674: Residual = 0.00327669
Iter 675: Residual = 0.00322731
Iter 676: Residual = 0.00317868
Iter 677: Residual = 0.00313078
Iter 678: Residual = 0.0030836
Iter 679: Residual = 0.00303713
Iter 680: Residual = 0.00299136
Iter 681: Residual = 0.00294628
Iter 682: Residual = 0.00290188
Iter 683: Residual = 0.00285815
Iter 684: Residual = 0.00281508
Iter 685: Residual = 0.00277266
Iter 686: Residual = 0.00273088
Iter 687: Residual = 0.00268972
Iter 688: Residual = 0.00264919
Iter 689: Residual = 0.00260927
Iter 690: Residual = 0.00256995
Iter 691: Residual = 0.00253122
Iter 692: Residual = 0.00249307
Iter 693: Residual = 0.0024555
Iter 694: Residual = 0.0024185
Iter 695: Residual = 0.00238205
Iter 696: Residual = 0.00234616
Iter 697: Residual = 0.0023108
Iter 698: Residual = 0.00227598
Iter 699: Residual = 0.00224168
Iter 700: Residual = 0.0022079
Iter 701: Residual = 0.00217463
Iter 702: Residual = 0.00214186
Iter 703: Residual = 0.00210958
Iter 704: Residual = 0.00207779
Iter 705: Residual = 0.00204648
Iter 706: Residual = 0.00201564
Iter 707: Residual = 0.00198526
Iter 708: Residual = 0.00195535
Iter 709: Residual = 0.00192588
Iter 710: Residual = 0.00189686
Iter 711: Residual = 0.00186827
Iter 712: Residual = 0.00184012
Iter 713: Residual = 0.00181239
Iter 714: Residual = 0.00178508
Iter 715: Residual = 0.00175818
Iter 716: Residual = 0.00173168
Iter 717: Residual = 0.00170559
Iter 718: Residual = 0.00167988
Iter 719: Residual = 0.00165457
Iter 720: Residual = 0.00162963
Iter 721: Residual = 0.00160508
Iter 722: Residual = 0.00158089
Iter 723: Residual = 0.00155706
Iter 724: Residual = 0.0015336
Iter 725: Residual = 0.00151049
Iter 726: Residual = 0.00148773
Iter 727: Residual = 0.00146531
Iter 728: Residual = 0.00144323
Iter 729: Residual = 0.00142148
Iter 730: Residual = 0.00140006
Iter 731: Residual = 0.00137896
Iter 732: Residual = 0.00135818
Iter 733: Residual = 0.00133771
Iter 734: Residual = 0.00131755
Iter 735: Residual = 0.0012977
Iter 736: Residual = 0.00127814
Iter 737: Residual = 0.00125888
Iter 738: Residual = 0.00123991
Iter 739: Residual = 0.00122122
Iter 740: Residual = 0.00120282
Iter 741: Residual = 0.00118469
Iter 742: Residual = 0.00116684
Iter 743: Residual = 0.00114926
Iter 744: Residual = 0.00113194
Iter 745: Residual = 0.00111488
Iter 746: Residual = 0.00109808
Iter 747: Residual = 0.00108153
Iter 748: Residual = 0.00106523
Iter 749: Residual = 0.00104918
Iter 750: Residual = 0.00103337
Iter 751: Residual = 0.0010178
Iter 752: Residual = 0.00100246
Iter 753: Residual = 0.000987353
Solver : Jacobi Converged 
Time taken : 0.0728352
Performance : 0.0137296GLUP/s 
---------------------------------------------------------------
